fundType,companyName,fundName,registeredAt,expiredAt,settlementMonth,manager,support,purpose,industry,baseRate,totalAmount
투자조합,삼호그린인베스트먼트,삼호그린인베스트먼트 모태자조합 제1호,,,12,,모태펀드,,,,7600000000
투자조합,대경인베스트먼트,대경인베스트먼트 모태자조합 제2호,,,12,,모태펀드,,,,22000000000
투자조합,에스엘인베스트먼트,에스엘인베스트먼트 모태자조합 제3호,,,12,,모태펀드,,,,20000000000
투자조합,엘비인베스트먼트,엘비인베스트먼트 모태자조합 제4호,,,12,,모태펀드,,,,20000000000
투자조합,일신창업투자,일신창업투자 모태자조합 제3호,,,12,,모태펀드,,,,10000000000
투자조합,미시간벤처캐피탈,미시간벤처캐피탈 모태자조합 제2호,,,12,,모태펀드,,,,12500000000
투자조합,에스비브이에이,에스비브이에이 모태자조합 제1호,,,12,,모태펀드,,,,10000000000
투자조합,우리인베스트먼트,우리인베스트먼트 모태자조합 제3호,,,12,,모태펀드,,,,31400000000
투자조합,아주아이비투자,아주아이비투자 모태자조합 제2호,,,12,,모태펀드,,,,10000000000
투자조합,메이플투자파트너스,메이플투자파트너스 모태자조합 제1호,,,12,,모태펀드,,,,10000000000
투자조합,에스브이인베스트먼트,에스브이인베스트먼트 모태자조합 제2호,,,12,,모태펀드,,,,25000000000
투자조합,씨제이인베스트먼트,씨제이인베스트먼트 모태자조합 제2호,,,12,,모태펀드,,,,10000000000
투자조합,인터베스트,인터베스트 모태자조합 제3호,,,12,,모태펀드,,,,100000000000
투자조합,키움인베스트먼트,키움인베스트먼트 모태자조합 제3호,,,12,,모태펀드,,,,20000000000
투자조합,파트너스인베스트먼트,파트너스인베스트먼트 모태자조합 제3호,,,12,,모태펀드,,,,25000000000
투자조합,원익투자파트너스,원익투자파트너스 모태자조합 제4호,,,12,,모태펀드,,,,20000000000
투자조합,컴퍼니케이파트너스,컴퍼니케이파트너스 모태자조합 제2호,,,12,,모태펀드,,,,15000000000
투자조합,알바트로스인베스트먼트,알바트로스인베스트먼트 모태자조합 제1호,,,12,,모태펀드,,,,11500000000
투자조합,스마일게이트인베스트먼트,스마일게이트인베스트먼트 모태자조합 제3호,,,12,,모태펀드,,,,10000000000
투자조합,신한벤처투자,신한벤처투자 모태자조합 제3호,,,12,,모태펀드,,,,12000000000
투자조합,대성창업투자,대성창업투자 모태자조합 제6호,,,12,,모태펀드,,,,10000000000
투자조합,코오롱인베스트먼트,코오롱인베스트먼트 모태자조합 제2호,,,12,,모태펀드,,,,13000000000
투자조합,플래티넘기술투자,플래티넘기술투자 모태자조합 제2호,,,12,,모태펀드,,,,5000000000
투자조합,에스엘인베스트먼트,에스엘인베스트먼트 모태자조합 제4호,,,12,,모태펀드,,,,12500000000
투자조합,산은캐피탈,산은캐피탈 모태자조합 제1호,,,12,,모태펀드,,,,10000000000
투자조합,중소기업은행,중소기업은행 모태자조합 제1호,,,12,,모태펀드,,,,42000000000
투자조합,레오파트너스인베스트먼트,레오파트너스인베스트먼트 모태자조합 제2호,,,12,,모태펀드,,,,10000000000
투자조합,골드레인인베스트먼트,골드레인인베스트먼트 모태자조합 제1호,,,12,,모태펀드,,,,27500000000
투자조합,이수창업투자,이수창업투자 모태자조합 제2호,,,12,,모태펀드,,,,21150000000
투자조합,스카이레이크인베스트먼트,스카이레이크인베스트먼트 모태자조합 제1호,,,12,,모태펀드,,,,100000000000
투자조합,이앤인베스트먼트,이앤인베스트먼트 모태자조합 제1호,,,12,,모태펀드,,,,10000000000
투자조합,우리기술투자,우리기술투자 모태자조합 제1호,,,12,,모태펀드,,,,10000000000
투자조합,우리인베스트먼트,우리인베스트먼트 모태자조합 제4호,,,12,,모태펀드,,,,10000000000
투자조합,동훈인베스트먼트,동훈인베스트먼트 모태자조합 제2호,,,12,,모태펀드,,,,10000000000
투자조합,스톤브릿지벤처스,스톤브릿지벤처스 모태자조합 제4호,,,12,,모태펀드,,,,11000000000
투자조합,에스엠비투자파트너스,에스엠비투자파트너스 모태자조합 제1호,,,12,,모태펀드,,,,10000000000
투자조합,아주아이비투자,아주아이비투자 모태자조합 제3호,,,12,,모태펀드,,,,16000000000
투자조합,비케이인베스트먼트,비케이인베스트먼트 모태자조합 제1호,,,12,,모태펀드,,,,10300000000
투자조합,씨케이디창업투자,씨케이디창업투자 모태자조합 제2호,,,12,,모태펀드,,,,6000000000
투자조합,한국투자파트너스,한국투자파트너스 모태자조합 제3호,,,12,,모태펀드,,,,70000000000
투자조합,에스유앤피,에스유앤피 모태자조합 제5호,,,12,,모태펀드,,,,40861000000
투자조합,이상인베스트먼트,이상인베스트먼트 모태자조합 제1호,,,12,,모태펀드,,,,15000000000
투자조합,한화투자증권,한화투자증권 모태자조합 제5호,,,12,,모태펀드,,,,40000000000
투자조합,비엔케이벤처투자,비엔케이벤처투자 모태자조합 제1호,,,12,,모태펀드,,,,20000000000
투자조합,에이치비인베스트먼트,에이치비인베스트먼트 모태자조합 제5호,,,12,,모태펀드,,,,51000000000
투자조합,에이티넘인베스트먼트,에이티넘인베스트먼트 모태자조합 제4호,,,12,,모태펀드,,,,40000000000
투자조합,일신창업투자,일신창업투자 모태자조합 제4호,,,12,,모태펀드,,,,56600000000
투자조합,큐브벤처파트너스,큐브벤처파트너스 모태자조합 제1호,,,12,,모태펀드,,,,30000000000
투자조합,티에스인베스트먼트,티에스인베스트먼트 모태자조합 제1호,,,12,,모태펀드,,,,15000000000
투자조합,엘비인베스트먼트,엘비인베스트먼트 모태자조합 제5호,,,12,,모태펀드,,,,93382000000
투자조합,미래에쿼티파트너스,미래에쿼티파트너스 모태자조합 제1호,,,12,,모태펀드,,,,20000000000
투자조합,큐캐피탈파트너스,큐캐피탈파트너스 모태자조합 제2호,,,12,,모태펀드,,,,20000000000
투자조합,컴퍼니케이파트너스,컴퍼니케이파트너스 모태자조합 제3호,,,12,,모태펀드,,,,10000000000
투자조합,씨제이인베스트먼트,씨제이인베스트먼트 모태자조합 제3호,,,12,,모태펀드,,,,41900000000
투자조합,산은캐피탈,산은캐피탈 모태자조합 제2호,,,12,,모태펀드,,,,24600000000
투자조합,지온인베스트먼트,지온인베스트먼트 모태자조합 제1호,,,12,,모태펀드,,,,12000000000
투자조합,미시간벤처캐피탈,미시간벤처캐피탈 모태자조합 제3호,,,12,,모태펀드,,,,15000000000
투자조합,엘비인베스트먼트,엘비인베스트먼트 모태자조합 제6호,,,12,,모태펀드,,,,30000000000
투자조합,아이엠엠인베스트먼트,아이엠엠인베스트먼트 모태자조합 제1호,,,12,,모태펀드,,,,15500000000
투자조합,트라이던트앤파트너스,트라이던트앤파트너스 모태자조합 제1호,,,12,,모태펀드,,,,10500000000
